
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
             Krzysztof                 Hetman    m          False               False                   False
               Czesław                    Hoc    m          False               False                   False
              Zbigniew               Hoffmann    m          False               False                   False
          Marek Tomasz                    Hok    m          False                True                   False
               Bożenna               Hołownia    k           True               False                   False
                Szymon               Hołownia    m           True               False                   False
                Marcin                 Horała    m           True               False                   False
                Łukasz            Horbatowski    m          False               False                   False
                 Paweł                Hreniak    m          False               False                   False
                 Paweł              Jabłoński    m           True               False                   False
                Michał                   Jach    m          False               False                   False
               Klaudia                Jachira    k          False               False                   False
                Robert                  Jagła    m           True               False                   False
                 Marek               Jakubiak    m          False               False                   False
      Maria Małgorzata                Janyska    k          False                True                   False
                Michał                  Jaros    m          False               False                   False
                Patryk              Jaskulski    m          False               False                   False
               Dominik              Jaśkowiec    m           True               False                   False
                Danuta            Jazłowiecka    k           True               False                   False
               Dariusz                 Joński    m           True               False                   False
                Marcin             Józefaciuk    m           True               False                   False
         Norbert Jakub            Kaczmarczyk    m          False                True                   False
                 Filip              Kaczyński    m           True               False                   False
              Jarosław              Kaczyński    m           True               False                   False
                 Piotr                 Kaleta    m          False               False                   False
             Sebastian                 Kaleta    m          False               False                   False
               Mariusz                Kałużny    m           True               False                   False
               Mariusz               Kamiński    m           True               False                   False
                 Piotr                Kandyba    m          False               False                   False
                   Jan                Kanthak    m          False               False                   False
    Fryderyk Sylwester                Kapinos    m          False                True                   False
                 Jacek              Karnowski    m          False               False                   False
                 Iwona             Karolewska    k          False               False                   False
                 Rafał               Kasprzyk    m          False               False                   False
                Henryk                Kiepura    m          False               False                   False
                Marcin             Kierwiński    m           True               False                   False
             Katarzyna       Kierzek-Koperska    k          False               False                    True
               Dariusz               Klimczak    m          False               False                   False
                Joanna      Kluzik-Rostkowska    k          False               False                    True
       Agnieszka Maria               Kłopotek    k           True                True                   False
                Łukasz                  Kmita    m          False               False                   False
                Michał                Kobosko    m          False               False                   False
                 Maria                    Koc    k          False               False                   False
                   Ewa              Kołodziej    k           True               False                   False
  Magdalena Małgorzata          Kołodziejczak    k           True                True                   False
                Michał          Kołodziejczak    m           True               False                   False
                 Rafał             Komarewicz    m          False               False                   False
                Maciej              Konieczny    m          False               False                   False
              Zbigniew              Konwiński    m           True               False                   False
             Władysław        Kosiniak-Kamysz    m          False               False                    True
                Tomasz                 Kostuś    m           True               False                   False
               Andrzej            Kosztowniak    m          False               False                   False
               Urszula              Koszutska    k          False               False                   False
            Aleksandra                    Kot    k          False               False                   False
             Katarzyna                 Kotula    k          False               False                   False
                 Paweł                  Kowal    m          False               False                   False
                 Piotr                  Kowal    m          False               False                   False
                Henryk              Kowalczyk    m          False               False                   False
                Janusz               Kowalski    m          False               False                   False
                Michał               Kowalski    m          False               False                   False
         Bartosz Józef               Kownacki    m          False                True                   False
           Iwona Maria              Kozłowska    k           True                True                   False
